1,1,3,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
2,1,2,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
3,1,5,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
4,2,1,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
5,2,4,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
6,2,5,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
7,3,3,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
8,3,1,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
9,3,2,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
10,3,4,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
11,4,1,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
12,4,2,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
13,4,5,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
14,5,3,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
15,5,2,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
16,5,5,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
17,5,4,2025-09-24 09:13:42.913,lwehrly,2025-09-24 09:13:42.913,lwehrly
